"Row","Description","Part","References","Value","Footprint","Quantity Per PCB","Status","Datasheet","lcsc#","jlc-part-type","alt#"
"24","Resistor","R","R103,R104,R105,R301,R302,R303,R304,R401,R402,R403,R404,R405,R406,R409,R410,R412","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","16"," ","~","C17673","B",""
"25","Resistor","R","R102,R305,R306","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3"," ","~","C17414","B",""
"26","Resistor","R","R311","22k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"," ","~","C17560","B",""
"27","Resistor","R","R101","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"," ","~","C17713","B",""
"28","Resistor","R","R411","150k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"," ","~","C17470","B",""
"29","Resistor","R","R310","200k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"," ","~","C17539","B",""
"30","Push button switch, generic, two pins","SW_Push","SW401,SW402","15mm","SW_SPST_15","2"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2110120830_XKB-Connection-TS-1102S-C-V-B_C2885154.pdf","C2885154","E",""
"31","4x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol","SW_DIP_x04","SW101","SW_DIP_x04","SW_DIP_SPSTx04_Slide_6.2x11.16mm_P2.54mm","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_KAIFENG-KF1027B-04P-G00-DFT-01B_C976366.pdf","C976366","E",""
"32","8-bit serial in/out Shift Register 3-State Outputs","74HC595","U201,U202","74HC595","SOIC-16_3.9x9.9mm_P1.27mm","2"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2407241044_Nexperia-74HC595D-118_C5947.pdf","C5947","B",""
"33","Digital Temperature Sensor with I2C/SMBus Interface, +/-2° C, one-shot conversion, alert, SOT-23-6","TMP101","U101,U102","GX101","SOT-23-6","2"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2409280202_GXCAS-GX101S_C5441728.pdf","C5441728","E",""
"34","300mA Low Dropout Voltage Regulator, Fixed Output 3.3V, SOT-23","APE8865N-33-HF-3","U302","JTD6206-3.3V","SOT-23","1"," ","https://www.lcsc.com/datasheet/C42443428.pdf","C5446","B","C42443428"
"35","300mA Low Dropout Voltage Regulator, Fixed Output 0.9V, SOT-23-5","TLV71209_SOT23-5","U301","LW6550A23E","SOT-23-5","1"," ","https://www.lcsc.com/datasheet/C20754712.pdf","C20754712","E",""
"36","1.2 A Simple Buck Regulator, 3-26V input, 1.5Mhz","AOZ1280CI","U303","ME3121AM6G","SOT-23-6","1"," ","https://m.huazhoucn.com/upFiles/common/2022/12/ME3121_Series_E1.0.pdf","C2932938","E",""
"37","Darlington Transistor Arrays, SOIC18/DIP18","ULN2803A","U203,U204","ULN2803A","SOIC-18W_7.5x11.6mm_P1.27mm","2"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2311091738_UMW-Youtai-Semiconductor-Co---Ltd--ULN2803A_C845537.pdf","C845537","E",""
"38","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6","USBLC6-2SC6","U401","USBLC6-2SC6","SOT-23-6","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2311091738_UMW-Youtai-Semiconductor-Co---Ltd--USBLC6-2SC6_C2687116.pdf","C2687116","E",""
"39","High-Speed CAN Transceiver, standby mode, split pin, SOIC-8","TJA1042T","U403","XL1050","SOIC-8_3.9x4.9mm_P1.27mm","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2309141025_XINLUDA-XL1050_C609746.pdf","C609746","E",""
"40","esp32-C3FH4X 4MB flash QFN32-1EP 5x5mm EP3.7x3.7mm","esp32-C3FH4X","U402","esp32-C3FH4X","QFN-32-1EP_5x5mm_P0.5mm_EP3.65x3.65mm","1"," ","https://www.espressif.com/sites/default/files/documentation/esp32-c3_datasheet_en.pdf","C2858491","E",""
"41","Four pin crystal, GND on pins 2 and 4","Crystal_GND24","Y401","40MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm","1"," ","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2311101855_SST-SCGYS40X00000YLXWPM_C19191260.pdf","C19191260","E",""
